,house_url,follow,price_area,houseinfo,price,huxing,mianji,chaoxiang,niandai,louceng,zhuangxiu,xiaoqu,address,houseprice_num,follow_num,follow_group,mianji_num,mianji_group
0, http://sz.centanet.com/ershoufang/szba11166543.html,, 1000万|6室3厅|236平, 没有注明|1998年|高层(共11层)|豪装||, 1000万,6室3厅,236平, 没有注明,1998年,高层(共11层),豪装,,,1000.0,0.0,0,236.0,200-250
1, http://sz.centanet.com/ershoufang/szba11166915.html,, 490万|2室2厅|75.35平, 南|2006年|低层(共20层)|豪装||, 490万,2室2厅,75.35平, 南,2006年,低层(共20层),豪装,,,490.0,0.0,0,75.35,50-100
2, http://sz.centanet.com/ershoufang/szba11167159.html,, 370万|2室2厅|71.5平, 没有注明|2014年|低层(共30层)|豪装||, 370万,2室2厅,71.5平, 没有注明,2014年,低层(共30层),豪装,,,370.0,0.0,0,71.5,50-100
3, http://sz.centanet.com/ershoufang/szba11167786.html,, 500万|3室2厅|88平, 南|2008年|低层(共22层)|精装||, 500万,3室2厅,88平, 南,2008年,低层(共22层),精装,,,500.0,0.0,0,88.0,50-100
4, http://sz.centanet.com/ershoufang/szba11168150.html,, 480万|3室2厅|108.76平, 南|1998年|高层(共13层)|精装|富源花园|, 480万,3室2厅,108.76平, 南,1998年,高层(共13层),精装,富源花园,,480.0,0.0,0,108.76,100-150
